leg	trial_idx	disp	install
leg1	0	1	0
leg1	1	1	0
leg1	2	4	0
leg1	3	1	0
leg1	4	1	0
leg1	5	4	0
leg1	6	4	0
leg1	7	1	0
leg1	8	1	0
leg1	9	1	0
leg1	10	4	0
leg1	11	1	0
leg1	12	1	0
leg1	13	4	0
leg1	14	1	0
leg1	15	4	0
leg1	16	1	0
leg1	17	4	0
leg1	18	4	0
leg1	19	1	0
leg1	20	4	0
leg1	21	1	0
leg1	22	1	0
leg1	23	4	0
leg1	24	1	0
leg1	25	1	0
leg1	26	4	0
leg1	27	1	0
leg1	28	4	0
leg1	29	1	0
leg1	30	1	0
leg1	31	1	0
leg1	32	1	0
leg1	33	1	0
leg1	34	1	0
leg1	35	1	0
leg1	36	1	0
leg1	37	1	0
leg1	38	1	0
leg1	39	1	0
leg1	40	1	0
leg1	41	1	0
leg1	42	1	0
leg2	0	7	0
leg2	1	7	0
leg2	2	7	0
leg2	3	7	0
leg2	4	7	0
leg2	5	7	0
leg2	6	7	0
leg2	7	7	0
leg2	8	7	0
leg2	9	7	0
leg2	10	7	0
leg2	11	7	0
leg3_C1	0	1	0
leg3_C1	1	1	0
leg3_C1	2	4	0
leg3_C1	3	5	1
leg3_C2	0	1	0
leg3_C2	1	1	0
leg3_C2	2	4	0
leg3_C3	0	1	0
leg3_C3	1	1	0
leg3_C3	2	4	0
leg3_R1	0	1	0
leg3_R1	1	1	0
leg3_R1	2	3	0
leg3_R2	0	1	0
leg3_R2	1	1	0
leg3_R2	2	4	0
leg3_CC1	0	1	0
leg3_CC1	1	1	0
leg3_CC1	2	4	0
leg3_CC1	3	4	0
leg3_CC2	0	1	0
leg3_CC2	1	1	0
leg3_CC2	2	4	0
leg3_CC2	3	5	1
leg3_H1	0	1	0
leg3_T1	0	1	0
leg3_T1	1	1	0
leg3_T1	2	4	0
leg3_W1	0	7	0
leg3_W1	1	7	0
leg3_W1	2	7	0
leg4_clean	0	7	0
leg4_clean	1	7	0
leg4_clean	2	7	0
leg4_clean	3	7	0
leg4_clean	4	7	0
leg4_clean	5	7	0
leg4_clean	6	7	0
leg4_clean	7	7	0
leg4_clean	8	7	0
leg4_clean	9	7	0
leg4_clean	10	7	0
leg4_clean	11	7	0
leg4_clean	12	7	0
leg4_clean	13	7	0
leg4_clean	14	7	0
leg4_clean	15	7	0
leg4_clean	16	7	0
leg4_clean	17	7	0
leg4_clean	18	7	0
leg4_clean	19	7	0
leg4_clean	20	7	0
leg4_clean	21	7	0
leg4_clean	22	7	0
leg4_clean	23	7	0
leg4_clean	24	7	0
leg4_clean	25	7	0
leg4_clean	26	7	0
leg4_clean	27	7	0
leg4_clean	28	7	0
leg4_clean	29	7	0
leg4_clean	30	7	0
leg4_clean	31	7	0
leg4_clean	32	7	0
leg4_clean	33	7	0
leg4_clean	34	7	0
leg4_clean	35	7	0
leg4_clean	36	7	0
leg4_clean	37	7	0
leg4_clean	38	7	0
leg4_clean	39	7	0
leg4_clean	40	7	0
leg4_clean	41	7	0
leg4_clean	42	7	0
leg4_clean	43	7	0
leg4_clean	44	7	0
leg4_clean	45	7	0
leg4_clean	46	7	0
leg4_clean	47	7	0
leg4_clean	48	7	0
leg4_clean	49	7	0
leg4_clean	50	7	0
leg4_clean	51	7	0
leg4_clean	52	7	0
leg4_clean	53	7	0
leg4_clean	54	7	0
leg4_clean	55	7	0
leg4_clean	56	7	0
leg4_clean	57	7	0
leg4_clean	58	7	0
leg4_clean	59	7	0
leg4_clean	60	7	0
leg4_clean	61	7	0
leg4_clean	62	7	0
leg4_clean	63	7	0
leg4_clean	64	7	0
leg4_clean	65	7	0
leg4_clean	66	7	0
leg4_clean	67	7	0
leg4_clean	68	7	0
leg4_clean	69	7	0
leg4_clean	70	7	0
leg4_clean	71	7	0
leg4_clean	72	7	0
leg4_clean	73	7	0
leg4_clean	74	7	0
leg4_clean	75	7	0
leg4_clean	76	7	0
leg4_clean	77	7	0
leg4_clean	78	7	0
leg4_clean	79	7	0
leg4_clean	80	7	0
leg4_clean	81	7	0
leg4_clean	82	7	0
leg4_clean	83	7	0
leg4_clean	84	7	0
leg4_clean	85	7	0
leg4_clean	86	7	0
leg4_clean	87	7	0
leg4_clean	88	7	0
leg4_clean	89	7	0
leg4_clean	90	7	0
leg4_clean	91	7	0
leg4_clean	92	7	0
leg4_clean	93	7	0
leg4_clean	94	7	0
leg4_clean	95	7	0
leg4_clean	96	7	0
leg4_clean	97	7	0
leg4_clean	98	7	0
leg4_clean	99	7	0
leg4_clean	100	7	0
leg4_clean	101	7	0
leg4_clean	102	7	0
leg4_clean	103	7	0
leg4_clean	104	7	0
leg4_clean	105	7	0
leg4_clean	106	7	0
leg4_clean	107	7	0
leg4_clean	108	7	0
leg4_clean	109	7	0
leg4_clean	110	7	0
leg4_clean	111	7	0
leg4_clean	112	7	0
leg4_clean	113	7	0
leg4_clean	114	7	0
leg4_clean	115	7	0
leg4_clean	116	7	0
leg4_clean	117	7	0
leg4_clean	118	7	0
leg4_clean	119	7	0
leg4_clean	120	7	0
leg4_clean	121	7	0
leg4_clean	122	7	0
leg4_clean	123	7	0
leg4_clean	124	7	0
leg4_clean	125	7	0
leg4_clean	126	7	0
leg4_clean	127	7	0
leg4_clean	128	7	0
