cand	leg	trial_idx	seq	disp	install	detail
T0	leg1	0	0	PROV	0	gate-first-prov
T0	leg1	1	12	PROV	0	gate-reanchor
T0	leg1	2	13	CHAL	0	gate-chal
T0	leg1	3	20	PROV	0	gate-reanchor
T0	leg1	4	25	PROV	0	guard-veto:temporal
T0	leg1	5	26	CHAL	0	gate-chal
T0	leg1	6	29	CHAL	0	gate-chal
T0	leg1	7	30	PROV	0	gate-reanchor
T0	leg1	8	33	PROV	0	gate-reanchor
T0	leg1	9	35	PROV	0	gate-reanchor
T0	leg1	10	36	CHAL	0	gate-chal
T0	leg1	11	37	PROV	0	gate-reanchor
T0	leg1	12	38	PROV	0	gate-reanchor
T0	leg1	13	41	CHAL	0	gate-chal
T0	leg1	14	45	PROV	0	gate-reanchor
T0	leg1	15	47	CHAL	0	gate-chal
T0	leg1	16	72	PROV	0	gate-first-prov
T0	leg1	17	76	CHAL	0	gate-chal
T0	leg1	18	77	CHAL	0	guard-veto:temporal
T0	leg1	19	78	PROV	0	guard-veto:temporal
T0	leg1	20	79	CHAL	0	gate-chal
T0	leg1	21	80	PROV	0	gate-reanchor
T0	leg1	22	83	PROV	0	guard-veto:temporal
T0	leg1	23	84	CHAL	0	gate-chal
T0	leg1	24	85	PROV	0	gate-reanchor
T0	leg1	25	86	PROV	0	guard-veto:temporal
T0	leg1	26	87	CHAL	0	guard-veto:temporal
T0	leg1	27	88	PROV	0	gate-reanchor
T0	leg1	28	89	CHAL	0	gate-chal
T0	leg1	29	93	PROV	0	gate-reanchor
T0	leg1	30	96	PROV	0	gate-first-prov
T0	leg1	31	97	PROV	0	gate-reanchor
T0	leg1	32	98	PROV	0	gate-reanchor
T0	leg1	33	100	PROV	0	gate-reanchor
T0	leg1	34	103	PROV	0	gate-reanchor
T0	leg1	35	105	PROV	0	gate-reanchor
T0	leg1	36	108	PROV	0	gate-reanchor
T0	leg1	37	110	PROV	0	guard-veto:margin+temporal
T0	leg1	38	111	PROV	0	gate-reanchor
T0	leg1	39	113	PROV	0	gate-reanchor
T0	leg1	40	115	PROV	0	gate-reanchor
T0	leg1	41	116	PROV	0	gate-reanchor
T0	leg1	42	118	PROV	0	gate-reanchor
T0	leg2	0	24	WITH	0	gate-prog-pred
T0	leg2	1	25	WITH	0	gate-prog-pred
T0	leg2	2	26	WITH	0	gate-prog-pred
T0	leg2	3	27	WITH	0	gate-prog-pred
T0	leg2	4	28	WITH	0	gate-prog-pred
T0	leg2	5	29	WITH	0	gate-prog-pred
T0	leg2	6	30	WITH	0	gate-prog-pred
T0	leg2	7	31	WITH	0	gate-prog-pred
T0	leg2	8	32	WITH	0	gate-prog-pred
T0	leg2	9	33	WITH	0	gate-prog-pred
T0	leg2	10	34	WITH	0	gate-prog-pred
T0	leg2	11	35	WITH	0	gate-prog-pred
T0	leg3_C1	0	721	PROV	0	gate-first-prov
T0	leg3_C1	1	722	PROV	0	guard-veto:span+temporal
T0	leg3_C1	2	1262	CHAL	0	gate-chal
T0	leg3_C1	3	1330	REV	1	harden-ok
T0	leg3_C2	0	10967	PROV	0	gate-first-prov
T0	leg3_C2	1	10968	PROV	0	guard-veto:span+temporal
T0	leg3_C2	2	10983	CHAL	0	gate-chal
T0	leg3_C3	0	721	PROV	0	gate-first-prov
T0	leg3_C3	1	722	PROV	0	guard-veto:span+temporal
T0	leg3_C3	2	1145	CHAL	0	gate-chal
T0	leg3_R1	0	2001	PROV	0	gate-first-prov
T0	leg3_R1	1	2002	PROV	0	guard-veto:span+temporal
T0	leg3_R1	2	2003	CONF	0	gate-conf-lowconf
T0	leg3_R2	0	2011	PROV	0	gate-first-prov
T0	leg3_R2	1	2012	PROV	0	gate-prov-lowconf
T0	leg3_R2	2	2013	CHAL	0	gate-chal
T0	leg3_CC1	0	10967	PROV	0	gate-first-prov
T0	leg3_CC1	1	10968	PROV	0	guard-veto:span+temporal
T0	leg3_CC1	2	10983	CHAL	0	gate-chal
T0	leg3_CC1	3	10992	CHAL	0	guard-veto:margin+span+temporal
T0	leg3_CC2	0	721	PROV	0	gate-first-prov
T0	leg3_CC2	1	722	PROV	0	guard-veto:span+temporal
T0	leg3_CC2	2	1262	CHAL	0	gate-chal
T0	leg3_CC2	3	1689	REV	1	harden-ok
T0	leg3_H1	0	1262	PROV	0	gate-first-prov
T0	leg3_T1	0	2021	PROV	0	gate-first-prov
T0	leg3_T1	1	2022	PROV	0	guard-veto:span+temporal
T0	leg3_T1	2	2023	CHAL	0	gate-chal
T0	leg3_W1	0	2031	WITH	0	gate-prog-pred
T0	leg3_W1	1	2032	WITH	0	gate-prog-pred
T0	leg3_W1	2	2033	WITH	0	gate-prog-pred
T0	leg4_clean	0	0	WITH	0	gate-prog-pred
T0	leg4_clean	1	1	WITH	0	gate-prog-pred
T0	leg4_clean	2	2	WITH	0	gate-prog-pred
T0	leg4_clean	3	3	WITH	0	gate-prog-pred
T0	leg4_clean	4	4	WITH	0	gate-prog-pred
T0	leg4_clean	5	5	WITH	0	gate-prog-pred
T0	leg4_clean	6	6	WITH	0	gate-prog-pred
T0	leg4_clean	7	7	WITH	0	gate-prog-pred
T0	leg4_clean	8	8	WITH	0	gate-prog-pred
T0	leg4_clean	9	9	WITH	0	gate-prog-pred
T0	leg4_clean	10	10	WITH	0	gate-prog-pred
T0	leg4_clean	11	11	WITH	0	gate-prog-pred
T0	leg4_clean	12	12	WITH	0	gate-prog-pred
T0	leg4_clean	13	13	WITH	0	gate-prog-pred
T0	leg4_clean	14	14	WITH	0	gate-prog-pred
T0	leg4_clean	15	15	WITH	0	gate-prog-pred
T0	leg4_clean	16	16	WITH	0	gate-prog-pred
T0	leg4_clean	17	17	WITH	0	gate-prog-pred
T0	leg4_clean	18	18	WITH	0	gate-prog-pred
T0	leg4_clean	19	19	WITH	0	gate-prog-pred
T0	leg4_clean	20	20	WITH	0	gate-prog-pred
T0	leg4_clean	21	21	WITH	0	gate-prog-pred
T0	leg4_clean	22	22	WITH	0	gate-prog-pred
T0	leg4_clean	23	23	WITH	0	gate-prog-pred
T0	leg4_clean	24	24	WITH	0	gate-prog-pred
T0	leg4_clean	25	25	WITH	0	gate-prog-pred
T0	leg4_clean	26	26	WITH	0	gate-prog-pred
T0	leg4_clean	27	27	WITH	0	gate-prog-pred
T0	leg4_clean	28	28	WITH	0	gate-prog-pred
T0	leg4_clean	29	29	WITH	0	gate-prog-pred
T0	leg4_clean	30	30	WITH	0	gate-prog-pred
T0	leg4_clean	31	31	WITH	0	gate-prog-pred
T0	leg4_clean	32	32	WITH	0	gate-prog-pred
T0	leg4_clean	33	33	WITH	0	gate-prog-pred
T0	leg4_clean	34	34	WITH	0	gate-prog-pred
T0	leg4_clean	35	35	WITH	0	gate-prog-pred
T0	leg4_clean	36	36	WITH	0	gate-prog-pred
T0	leg4_clean	37	37	WITH	0	gate-prog-pred
T0	leg4_clean	38	38	WITH	0	gate-prog-pred
T0	leg4_clean	39	39	WITH	0	gate-prog-pred
T0	leg4_clean	40	40	WITH	0	gate-prog-pred
T0	leg4_clean	41	41	WITH	0	gate-prog-pred
T0	leg4_clean	42	42	WITH	0	gate-prog-pred
T0	leg4_clean	43	43	WITH	0	gate-prog-pred
T0	leg4_clean	44	44	WITH	0	gate-prog-pred
T0	leg4_clean	45	45	WITH	0	gate-prog-pred
T0	leg4_clean	46	46	WITH	0	gate-prog-pred
T0	leg4_clean	47	47	WITH	0	gate-prog-pred
T0	leg4_clean	48	48	WITH	0	gate-prog-pred
T0	leg4_clean	49	49	WITH	0	gate-prog-pred
T0	leg4_clean	50	50	WITH	0	gate-prog-pred
T0	leg4_clean	51	51	WITH	0	gate-prog-pred
T0	leg4_clean	52	52	WITH	0	gate-prog-pred
T0	leg4_clean	53	53	WITH	0	gate-prog-pred
T0	leg4_clean	54	54	WITH	0	gate-prog-pred
T0	leg4_clean	55	55	WITH	0	gate-prog-pred
T0	leg4_clean	56	56	WITH	0	gate-prog-pred
T0	leg4_clean	57	57	WITH	0	gate-prog-pred
T0	leg4_clean	58	58	WITH	0	gate-prog-pred
T0	leg4_clean	59	59	WITH	0	gate-prog-pred
T0	leg4_clean	60	60	WITH	0	gate-prog-pred
T0	leg4_clean	61	61	WITH	0	gate-prog-pred
T0	leg4_clean	62	62	WITH	0	gate-prog-pred
T0	leg4_clean	63	63	WITH	0	gate-prog-pred
T0	leg4_clean	64	64	WITH	0	gate-prog-pred
T0	leg4_clean	65	65	WITH	0	gate-prog-pred
T0	leg4_clean	66	66	WITH	0	gate-prog-pred
T0	leg4_clean	67	67	WITH	0	gate-prog-pred
T0	leg4_clean	68	68	WITH	0	gate-prog-pred
T0	leg4_clean	69	69	WITH	0	gate-prog-pred
T0	leg4_clean	70	70	WITH	0	gate-prog-pred
T0	leg4_clean	71	71	WITH	0	gate-prog-pred
T0	leg4_clean	72	72	WITH	0	gate-prog-pred
T0	leg4_clean	73	73	WITH	0	gate-prog-pred
T0	leg4_clean	74	74	WITH	0	gate-prog-pred
T0	leg4_clean	75	75	WITH	0	gate-prog-pred
T0	leg4_clean	76	76	WITH	0	gate-prog-pred
T0	leg4_clean	77	77	WITH	0	gate-prog-pred
T0	leg4_clean	78	78	WITH	0	gate-prog-pred
T0	leg4_clean	79	79	WITH	0	gate-prog-pred
