clip,class,seal_match,byte_identical,deterministic,sem_rms_LSB,sem_corr,use_h,n
child-fsd50k-171101,child,True,True,True,209.41,0.99415,0,
child-fsd50k-18274,child,True,True,True,755.62,0.98308,0,
child-fsd50k-18278,child,True,True,True,85.63,0.99791,0,
child-fsd50k-18279,child,True,True,True,118.93,0.99867,1,
child-fsd50k-18292,child,True,True,True,47.55,0.9972,0,
child-fsd50k-31783,child,True,True,True,48.4,0.98198,0,
child-fsd50k-350733,child,True,True,True,188.98,0.99567,0,
child-fsd50k-416664,child,True,True,True,151.36,0.99773,0,
child-fsd50k-416681,child,True,True,True,51.12,0.9967,0,
child-fsd50k-416689,child,True,True,True,104.82,0.98845,0,
child-fsd50k-426233,child,True,True,True,661.49,0.99223,0,
child-fsd50k-77406,child,True,True,True,159.96,0.99601,0,
child-fsd50k-92927,child,True,True,True,100.74,0.99612,0,
child-kid-kidb-00,child,True,True,True,249.07,0.99718,0,
child-kid-kidb-01,child,True,True,True,186.83,0.99836,0,
child-kid-kidb-02,child,True,True,True,266.52,0.99812,0,
child-kid-kidb-03,child,True,True,True,313.16,0.99414,0,
child-kid-kidb-04,child,True,True,True,319.17,0.9955,0,
child-kid-kidb-05,child,True,True,True,244.52,0.99712,0,
child-kid-kidb-06,child,True,True,True,117.7,0.99043,0,
child-kid-kide-07,child,True,True,True,256.96,0.99701,0,
child-kid-kide-08,child,True,True,True,182.23,0.99845,0,
child-kid-kide-09,child,True,True,True,264.54,0.99815,0,
child-kid-kide-10,child,True,True,True,289.25,0.99425,0,
child-kid-kide-11,child,True,True,True,216.49,0.99801,0,
child-kid-kide-12,child,True,True,True,70.56,0.99493,0,
child-speechocean-0001,child,True,True,True,234.22,0.99767,0,
child-speechocean-0054,child,True,True,True,180.12,0.99812,0,
child-speechocean-0104,child,True,True,True,70.11,0.9987,0,
child-speechocean-1042,child,True,True,True,68.07,0.9969,0,
child-speechocean-1203,child,True,True,True,199.31,0.99824,0,
child-speechocean-1469,child,True,True,True,208.39,0.99814,0,
child-speechocean-3002,child,True,True,True,101.3,0.9976,0,
child-speechocean-3060,child,True,True,True,228.85,0.99847,0,
child-speechocean-3636,child,True,True,True,148.78,0.99788,0,
child-speechocean-5220,child,True,True,True,144.82,0.99795,0,
child-speechocean-5547,child,True,True,True,239.87,0.99783,0,
child-speechocean-6912,child,True,True,True,46.72,0.99755,0,
child-speechocean-9034,child,True,True,True,209.94,0.99817,0,
child-tomroma-00,child,True,True,True,224.87,0.99786,0,
child-tomroma-01,child,True,True,True,61.77,0.99812,0,
child-tomroma-02,child,True,True,True,223.34,0.99622,0,
child-tomroma-03,child,True,True,True,231.0,0.99819,0,
child-tomroma-04,child,True,True,True,174.78,0.99749,0,
child-tomroma-05,child,True,True,True,303.52,0.99836,0,
child-tomroma-06,child,True,True,True,168.8,0.9947,0,
child-tomroma-07,child,True,True,True,17.05,0.9975,0,
child-tomroma-08,child,True,True,True,186.87,0.99697,0,
child-tomroma-09,child,True,True,True,168.22,0.99921,0,
child-tomroma-10,child,True,True,True,359.11,0.9963,0,
child-tomroma-11,child,True,True,True,249.14,0.99833,0,
child-tomroma-12,child,True,True,True,250.82,0.99689,0,
field-esc50-1-100032-A-0,field,True,True,True,179.29,0.99136,0,
field-esc50-1-100038-A-14,field,True,True,True,137.14,0.99768,0,
field-esc50-1-100210-A-36,field,True,True,True,379.06,0.99912,0,
field-esc50-1-101296-A-19,field,True,True,True,20.13,0.99842,0,
field-esc50-1-103298-A-9,field,True,True,True,483.76,0.99415,0,
field-esc50-1-115545-A-48,field,True,True,True,16.47,0.99814,0,
field-esc50-1-118559-A-17,field,True,True,True,24.28,0.99441,0,
field-esc50-1-121951-A-8,field,True,True,True,32.45,0.996,0,
field-esc50-1-12653-A-15,field,True,True,True,178.64,0.98563,0,
field-esc50-1-137296-A-16,field,True,True,True,188.78,0.99934,0,
field-esc50-1-15689-A-4,field,True,True,True,312.89,0.99393,0,
field-esc50-1-16568-A-3,field,True,True,True,1092.48,0.99076,1,
field-esc50-1-17150-A-12,field,True,True,True,184.76,0.98399,0,
field-esc50-1-17367-A-10,field,True,True,True,153.44,0.99857,0,
field-esc50-1-17585-A-7,field,True,True,True,125.05,0.99767,0,
field-esc50-1-18074-A-6,field,True,True,True,198.79,0.99336,0,
field-esc50-1-18527-A-44,field,True,True,True,176.57,0.99747,0,
field-esc50-1-18810-A-49,field,True,True,True,246.73,0.99593,0,
field-esc50-1-20736-A-18,field,True,True,True,615.91,0.99736,0,
field-esc50-1-208757-A-2,field,True,True,True,852.49,0.99604,0,
field-esc50-1-21934-A-38,field,True,True,True,90.66,0.99501,0,
field-esc50-1-26806-A-1,field,True,True,True,429.5,0.99666,0,
field-esc50-1-28135-A-11,field,True,True,True,165.48,0.99875,0,
field-esc50-1-34094-A-5,field,True,True,True,222.35,0.9976,0,
field-esc50-1-57316-A-13,field,True,True,True,102.88,0.99726,0,
field-fsd50k-10000,field,True,True,True,33.79,0.9989,0,
field-fsd50k-100005,field,True,True,True,130.87,0.99509,0,
field-fsd50k-10001,field,True,True,True,31.31,0.99867,0,
field-fsd50k-100011,field,True,True,True,139.96,0.99776,0,
field-fsd50k-100017,field,True,True,True,125.42,0.98683,0,
field-fsd50k-100018,field,True,True,True,154.25,0.99475,0,
field-fsd50k-100019,field,True,True,True,310.27,0.9948,0,
