A-01	WITHHOLD	R5
A-02	WITHHOLD	R5
A-03	WITHHOLD	R5
A-04	WITHHOLD	R5
A-05	WITHHOLD	R5
A-06	WITHHOLD	R5
A-07	WITHHOLD	R5
A-08	WITHHOLD	R5
A-09	WITHHOLD	R5
A-10	WITHHOLD	R5
A-11	WITHHOLD	R5
A-12	WITHHOLD	R5
A-13	WITHHOLD	R5
A-14	WITHHOLD	R5
A-15	WITHHOLD	R5
A-16	WITHHOLD	R5
A-17	WITHHOLD	R5
A-18	WITHHOLD	R5
A-19	WITHHOLD	R5
A-20	WITHHOLD	R5
A-21	WITHHOLD	R5
A-22	WITHHOLD	R5
A-23	WITHHOLD	R5
A-24	WITHHOLD	R5
A-25	WITHHOLD	R5
A-26	WITHHOLD	R5
A-27	WITHHOLD	JOKE
A-28	WITHHOLD	R5
A-29	WITHHOLD	R5
A-30	WITHHOLD	R5
A-31	WITHHOLD	JOKE
A-32	WITHHOLD	JOKE
B-01	INSTALL	R6
B-02	WITHHOLD	R5
B-03	REJECT	R5
B-04	INSTALL	R6
B-05	INSTALL	R6
B-06	INSTALL	R5
B-07	WITHHOLD	R5
B-08	WITHHOLD	R5
B-09	INSTALL	R6
B-10	INSTALL	R6
B-11	INSTALL	R6
B-12	INSTALL	R6
B-13	INSTALL	R6
B-14	INSTALL	R6
B-15	INSTALL	R6
B-16	INSTALL	R6
B-17	INSTALL	R6
B-18	INSTALL	R6
B-19	INSTALL	R6
B-20	INSTALL	R6
B-21	INSTALL	R6
B-22	INSTALL	R6
B-23	INSTALL	R6
B-24	INSTALL	R6
B-25	INSTALL	R6
B-26	INSTALL	R6
B-27	INSTALL	R6
B-28	INSTALL	R6
B-29	INSTALL	R6
B-30	REJECT	R5
B-31	WITHHOLD	R5
B-32	INSTALL	R6
