# Frozen antonym lexicon for leg-(e) probe transform D1 (antonym swap).
# Dated 2026-09-22. Committed as a pre-run artifact per frozen PREREG §11.
# Format: one pair per line, "word -> antonym". The near-miss probe swaps
# one word for its antonym; the layer must judge the result NOT true.
# All pairs audited 2026-09-22 (same POS, true opposites in ordinary prose).
# '#' starts a comment.
# --- adjectives ---
big -> small
small -> big
large -> small
huge -> tiny
tiny -> huge
long -> short
short -> long
tall -> short
wide -> narrow
narrow -> wide
deep -> shallow
shallow -> deep
high -> low
low -> high
thick -> thin
thin -> thick
heavy -> light
hot -> cold
cold -> hot
warm -> cool
cool -> warm
wet -> dry
dry -> wet
clean -> dirty
dirty -> clean
new -> old
old -> new
young -> old
fast -> slow
slow -> fast
quick -> slow
early -> late
late -> early
good -> bad
bad -> good
great -> terrible
excellent -> terrible
terrible -> excellent
beautiful -> ugly
pretty -> ugly
ugly -> beautiful
bright -> dark
dark -> bright
clear -> cloudy
cloudy -> clear
loud -> quiet
quiet -> loud
sweet -> bitter
bitter -> sweet
sour -> sweet
fresh -> stale
stale -> fresh
ripe -> rotten
rotten -> ripe
full -> empty
empty -> full
hard -> soft
soft -> hard
rough -> smooth
smooth -> rough
sharp -> dull
dull -> sharp
strong -> weak
weak -> strong
healthy -> sick
sick -> healthy
rich -> poor
poor -> rich
happy -> sad
sad -> happy
angry -> calm
calm -> angry
brave -> cowardly
cowardly -> brave
kind -> cruel
cruel -> kind
generous -> selfish
selfish -> generous
honest -> dishonest
dishonest -> honest
wise -> foolish
foolish -> wise
clever -> stupid
stupid -> clever
polite -> rude
rude -> polite
patient -> impatient
impatient -> patient
careful -> careless
careless -> careful
safe -> dangerous
dangerous -> safe
certain -> uncertain
uncertain -> certain
likely -> unlikely
unlikely -> likely
possible -> impossible
impossible -> possible
necessary -> unnecessary
unnecessary -> necessary
important -> trivial
trivial -> important
interesting -> boring
boring -> interesting
common -> rare
rare -> common
usual -> unusual
unusual -> usual
true -> false
false -> true
real -> fake
fake -> real
right -> wrong
wrong -> right
open -> closed
closed -> open
locked -> unlocked
free -> captive
captive -> free
wild -> tame
tame -> wild
alive -> dead
dead -> alive
asleep -> awake
awake -> asleep
present -> absent
absent -> present
near -> far
far -> near
able -> unable
willing -> reluctant
reluctant -> willing
proud -> humble
humble -> proud
guilty -> innocent
innocent -> guilty
hopeful -> hopeless
hopeless -> hopeful
lucky -> unlucky
unlucky -> lucky
pleasant -> unpleasant
comfortable -> uncomfortable
friendly -> hostile
hostile -> friendly
love -> hate
war -> peace
joy -> sorrow
sorrow -> joy
victory -> defeat
defeat -> victory
success -> failure
failure -> success
wealth -> poverty
poverty -> wealth
health -> illness
wisdom -> folly
folly -> wisdom
courage -> cowardice
cowardice -> courage
truth -> falsehood
question -> answer
friend -> enemy
enemy -> friend
heaven -> hell
hell -> heaven
summer -> winter
winter -> summer
day -> night
night -> day
morning -> evening
evening -> morning
sunrise -> sunset
sunset -> sunrise
beginning -> end
end -> beginning
start -> finish
finish -> start
arrival -> departure
departure -> arrival
entrance -> exit
exit -> entrance
front -> back
back -> front
top -> bottom
bottom -> top
inside -> outside
outside -> inside
up -> down
down -> up
left -> right
north -> south
south -> north
east -> west
west -> east
# --- verbs ---
come -> go
go -> come
arrive -> depart
depart -> arrive
enter -> exit
push -> pull
pull -> push
lift -> drop
drop -> lift
close -> open
lock -> unlock
unlock -> lock
build -> destroy
destroy -> build
create -> destroy
make -> destroy
break -> repair
repair -> break
win -> lose
lose -> win
give -> take
take -> give
buy -> sell
sell -> buy
lend -> borrow
borrow -> lend
remember -> forget
forget -> remember
learn -> forget
show -> hide
hide -> show
rise -> fall
fall -> rise
increase -> decrease
decrease -> increase
expand -> contract
contract -> expand
appear -> disappear
disappear -> appear
begin -> end
laugh -> cry
cry -> laugh
hate -> love
like -> dislike
dislike -> like
accept -> reject
reject -> accept
agree -> disagree
disagree -> agree
allow -> forbid
forbid -> allow
# --- adverbs ---
quickly -> slowly
slowly -> quickly
carefully -> carelessly
always -> never
never -> always
often -> seldom
seldom -> often
well -> badly
badly -> well
together -> apart
apart -> together
forward -> backward
backward -> forward
upward -> downward
inward -> outward
# --- preposition-ish pairs (used only if whole-word matched) ---
above -> below
below -> above
over -> under
under -> over
before -> after
after -> before
with -> without
without -> with
toward -> away
