# prereg_sha f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
# arm SR-S1 stage=1 mask=ON (PREREG_SR.md section 5b)
# mask integers: k{4,6}:num=10(C-Y)f_k; k{1,7}:num=2(C-Y)f_k+8*rise*f_k; k0:num=0 iff f7=1000 else 2(C-Y)f_1+8*rise*f_1; k{2,3,5}:num=0; b:ordinary v2; DIV2=40000; clamp +-2000000
epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
0	0	2575023	0	17	0	1158	0	0	0	182	0	60	0	-46	854	299	809
1	0	2296877	0	16	0	1307	0	0	0	312	0	60	0	-159	885	268	835
2	1	3508981	44	21	0	1083	-11	0	0	261	0	639	0	-1525	192	5	177
3	1	1974988	0	8	0	1083	-11	0	0	659	0	1382	0	-2330	304	9	280
4	2	44969182	2	12	0	2041	24	0	0	2675	0	621	30	-785	971	566	938
5	2	40985940	79	12	0	2475	11	0	0	2706	0	-629	50	-965	974	517	937
6	0	4035957	0	12	0	2664	11	0	0	2835	0	-471	50	-1074	975	505	937
7	0	4528878	0	12	0	2869	11	0	0	2971	0	-469	50	-1216	974	478	933
8	1	19656626	23	20	0	2150	-123	0	0	2731	0	643	50	-3754	358	11	330
9	1	3413725	0	12	0	2150	-123	0	0	3222	0	1627	50	-4536	387	12	356
10	2	67468935	1	17	0	3547	-43	0	0	5516	0	420	80	-2562	928	404	886
11	2	58699715	79	15	0	4268	-46	0	0	5639	0	-830	91	-2616	955	450	914
12	0	13803568	0	12	0	4645	-42	0	0	5900	0	-597	91	-2459	977	524	940
13	0	9919359	0	11	0	4942	-42	0	0	6089	0	-597	91	-2498	981	546	946
14	1	45046409	23	19	0	3633	-323	0	0	5192	0	653	91	-6293	602	11	554
15	1	4613089	0	16	0	3633	-323	0	0	5789	0	1848	91	-7093	577	12	531
16	2	78292811	1	20	0	5267	-195	0	0	8642	0	642	121	-5091	892	242	839
17	2	78364289	63	18	0	6262	-167	0	0	9102	0	-608	121	-4830	925	377	881
18	0	25951970	0	16	0	6867	-157	0	0	9580	0	-345	121	-4328	968	505	930
19	0	19067627	0	11	0	7326	-151	0	0	9890	0	-345	121	-4124	981	539	945
20	1	73816766	24	17	0	5370	-673	0	0	8117	0	905	121	-9243	723	11	666
21	1	5000000	0	16	0	5370	-673	0	0	8742	0	2155	121	-10071	756	12	696
22	2	83252563	1	20	0	7113	-513	0	0	12005	0	938	151	-8151	881	185	824
23	2	80293191	35	20	0	8271	-450	0	0	12824	0	-312	151	-7630	896	269	845
24	0	37869123	0	16	0	9408	-435	0	0	13784	0	345	151	-6131	969	516	932
25	0	22545362	0	11	0	9920	-429	0	0	14134	0	345	151	-5857	981	537	945
26	1	101450014	23	17	0	7340	-1424	0	0	11395	0	1595	151	-12268	760	12	699
27	1	4769129	0	16	0	7340	-1424	0	0	12004	0	2814	151	-13131	778	14	716
28	2	85210031	0	20	0	9144	-1232	0	0	15506	0	1564	181	-11074	879	179	823
29	2	79887942	35	20	0	10359	-1156	0	0	16510	0	314	181	-10554	887	205	832
30	0	55553182	0	16	0	12170	-1140	0	0	18002	0	1164	181	-7974	971	517	935
31	0	23396159	0	13	0	12700	-1133	0	0	18365	0	1164	181	-7693	980	533	944
32	1	106450100	25	17	0	9900	-2251	0	0	14848	0	1743	181	-14654	803	29	740
