cell	gate	trial_idx	expected_disp
C1	0	0	1
C1	0	1	0
C1	0	2	3
C1	0	3	3
C1	1	0	1
C1	1	1	0
C1	1	2	4
C1	1	3	5
C1	2	0	1
C1	2	1	0
C1	2	2	4
C1	2	3	5
C2	0	0	1
C2	0	1	0
C2	0	2	3
C2	1	0	1
C2	1	1	0
C2	1	2	4
C2	2	0	1
C2	2	1	0
C2	2	2	4
C3	0	0	1
C3	0	1	0
C3	0	2	3
C3	1	0	1
C3	1	1	0
C3	1	2	4
C3	2	0	1
C3	2	1	0
C3	2	2	4
R1	0	0	1
R1	0	1	0
R1	0	2	3
R1	1	0	1
R1	1	1	0
R1	1	2	3
R1	2	0	1
R1	2	1	0
R1	2	2	3
R2	0	0	1
R2	0	1	0
R2	0	2	3
R2	1	0	1
R2	1	1	1
R2	1	2	4
R2	2	0	1
R2	2	1	0
R2	2	2	4
CC1	0	0	1
CC1	0	1	0
CC1	0	2	3
CC1	0	3	3
CC1	1	0	1
CC1	1	1	0
CC1	1	2	4
CC1	1	3	5
CC1	2	0	1
CC1	2	1	0
CC1	2	2	4
CC1	2	3	5
CC2	0	0	1
CC2	0	1	0
CC2	0	2	3
CC2	0	3	3
CC2	1	0	1
CC2	1	1	0
CC2	1	2	4
CC2	1	3	5
CC2	2	0	1
CC2	2	1	0
CC2	2	2	4
CC2	2	3	5
H1	0	0	3
H1	1	0	3
H1	2	0	3
T1	0	0	1
T1	0	1	0
T1	0	2	3
T1	1	0	1
T1	1	1	0
T1	1	2	4
T1	2	0	1
T1	2	1	0
T1	2	2	4
W1	0	0	7
W1	0	1	7
W1	0	2	7
W1	1	0	7
W1	1	1	7
W1	1	2	7
W1	2	0	7
W1	2	1	7
W1	2	2	7
