order	fixture	family	truth
0	r2n_colordisc_0899.img	R2N	DIFFERENT
1	r2n_colordisc_0793.img	R2N	DIFFERENT
2	r2n_colordisc_0990.img	R2N	DIFFERENT
3	r2n_colordisc_0038.img	R2N	SAME
4	r2a_colordisc_0299.img	R2A-COL-1	DIFFERENT
5	r2a_shapetrans_0068.img	R2A-SHP-1	CIRCLE
6	r2a_colorconst_0352.img	R2A-CCN-2	SAME_SURFACE
7	r2n_shapetrans_0073.img	R2N	TRIANGLE
8	r2n_timbredisc_0688.pcm	R2N	PURE
9	r2a_shapetrans_0419.img	R2A-SHP-2	TRIANGLE
10	r2n_colordisc_0445.img	R2N	DIFFERENT
11	r2a_shapetrans_0480.img	R2A-SHP-2	CIRCLE
12	r2a_colordisc_0290.img	R2A-COL-1	DIFFERENT
13	r2a_colorconst_0502.img	R2A-CCN-2	SAME_SURFACE
14	r2a_shapetrans_0089.img	R2A-SHP-1	TRIANGLE
15	r2n_pitchdisc_0040.pcm	R2N	HIGHER
16	r2n_timbredisc_0103.pcm	R2N	RICH
17	r2a_colordisc_0005.img	R2A-COL-1	DIFFERENT
18	r2a_shapetrans_0748.img	R2A-SHP-2	CIRCLE
19	r2n_colorconst_0504.img	R2N	SAME_SURFACE
20	r2n_colordisc_0507.img	R2N	DIFFERENT
21	r2n_pitchdisc_0064.pcm	R2N	HIGHER
22	r2n_motiondir_0024.vid	R2N	NE
23	r2a_pitchdisc_0459.pcm	R2A-PTC-2	HIGHER
24	r2n_motiondir_0205.vid	R2N	SW
25	r2n_pitchdisc_0014.pcm	R2N	LOWER
26	r2a_motiondir_0376.vid	R2A-MOT-2	E
27	r2n_timbredisc_0209.pcm	R2N	BRIGHT
28	r2a_shapetrans_0192.img	R2A-SHP-1	SQUARE
29	r2n_shapetrans_0167.img	R2N	SQUARE
30	r2n_motiondir_0022.vid	R2N	NE
31	r2a_shapetrans_0410.img	R2A-SHP-2	SQUARE
32	r2n_pitchdisc_0006.pcm	R2N	SAME
33	r2a_shapetrans_0045.img	R2A-SHP-1	SQUARE
34	r2n_colorconst_0190.img	R2N	SAME_SURFACE
35	r2n_motiondir_0074.vid	R2N	E
36	r2a_colordisc_0130.img	R2A-COL-1	DIFFERENT
37	r2a_colorconst_0434.img	R2A-CCN-2	SAME_SURFACE
38	r2n_colordisc_0467.img	R2N	DIFFERENT
39	r2n_timbredisc_0635.pcm	R2N	RICH
40	r2a_motiondir_0383.vid	R2A-MOT-2	W
41	r2a_shapetrans_0658.img	R2A-SHP-2	CIRCLE
42	r2a_colordisc_0021.img	R2A-COL-1	DIFFERENT
43	r2n_shapetrans_0035.img	R2N	SQUARE
44	r2n_motiondir_0406.vid	R2N	SE
45	r2a_pitchdisc_0649.pcm	R2A-PTC-2	LOWER
46	r2a_motiondir_0362.vid	R2A-MOT-2	W
47	r2n_pitchdisc_0460.pcm	R2N	HIGHER
48	r2n_motiondir_0004.vid	R2N	E
49	r2a_pitchdisc_0481.pcm	R2A-PTC-2	LOWER
50	r2n_shapetrans_1089.img	R2N	CIRCLE
51	r2a_shapetrans_0500.img	R2A-SHP-2	CIRCLE
52	r2n_colordisc_0041.img	R2N	SAME
53	r2a_shapetrans_0584.img	R2A-SHP-2	CIRCLE
54	r2n_pitchdisc_0022.pcm	R2N	HIGHER
55	r2n_timbredisc_0235.pcm	R2N	RICH
56	r2a_motiondir_0616.vid	R2A-MOT-2	W
57	r2a_motiondir_0418.vid	R2A-MOT-2	SW
58	r2n_colorconst_0670.img	R2N	SAME_SURFACE
59	r2n_motiondir_0006.vid	R2N	E
60	r2a_shapetrans_0030.img	R2A-SHP-1	SQUARE
61	r2a_shapetrans_0308.img	R2A-SHP-1	TRIANGLE
62	r2n_timbredisc_0137.pcm	R2N	BRIGHT
63	r2a_colordisc_0347.img	R2A-COL-1	DIFFERENT
64	r2a_colorconst_0608.img	R2A-CCN-2	SAME_SURFACE
65	r2a_motiondir_0432.vid	R2A-MOT-2	SE
66	r2n_colorconst_0057.img	R2N	DIFFERENT
67	r2a_colorconst_0436.img	R2A-CCN-2	SAME_SURFACE
68	r2n_colorconst_0578.img	R2N	SAME_SURFACE
69	r2n_timbredisc_0299.pcm	R2N	RICH
70	r2a_motiondir_0354.vid	R2A-MOT-2	S
71	r2n_motiondir_0342.vid	R2N	SW
72	r2a_colorconst_0432.img	R2A-CCN-2	SAME_SURFACE
73	r2a_colorconst_0550.img	R2A-CCN-2	SAME_SURFACE
74	r2n_timbredisc_0088.pcm	R2N	PURE
75	r2a_shapetrans_0378.img	R2A-SHP-1	TRIANGLE
76	r2n_shapetrans_1045.img	R2N	TRIANGLE
77	r2n_motiondir_0518.vid	R2N	N
78	r2n_shapetrans_1214.img	R2N	SQUARE
79	r2n_motiondir_0088.vid	R2N	N
80	r2n_colorconst_0126.img	R2N	SAME_SURFACE
81	r2a_colorconst_0488.img	R2A-CCN-2	SAME_SURFACE
82	r2n_pitchdisc_0044.pcm	R2N	LOWER
83	r2n_timbredisc_0057.pcm	R2N	BRIGHT
84	r2a_motiondir_0456.vid	R2A-MOT-2	W
85	r2n_pitchdisc_0124.pcm	R2N	HIGHER
86	r2a_shapetrans_0021.img	R2A-SHP-1	SQUARE
87	r2a_colordisc_0037.img	R2A-COL-1	DIFFERENT
88	r2n_colordisc_0013.img	R2N	SAME
89	r2n_colordisc_0925.img	R2N	DIFFERENT
90	r2a_motiondir_0622.vid	R2A-MOT-2	NW
91	r2a_shapetrans_0464.img	R2A-SHP-2	CIRCLE
92	r2a_colordisc_0069.img	R2A-COL-1	DIFFERENT
93	r2a_pitchdisc_0494.pcm	R2A-PTC-2	HIGHER
94	r2a_shapetrans_0738.img	R2A-SHP-2	SQUARE
95	r2a_motiondir_0520.vid	R2A-MOT-2	SW
96	r2a_shapetrans_0422.img	R2A-SHP-2	CIRCLE
97	r2n_shapetrans_0021.img	R2N	CIRCLE
98	r2n_colorconst_0308.img	R2N	SAME_SURFACE
99	r2a_colordisc_0301.img	R2A-COL-1	DIFFERENT
100	r2a_pitchdisc_0710.pcm	R2A-PTC-2	HIGHER
101	r2n_pitchdisc_0642.pcm	R2N	SAME
102	r2n_motiondir_0364.vid	R2N	E
103	r2n_timbredisc_0039.pcm	R2N	RICH
104	r2n_colorconst_0088.img	R2N	SAME_SURFACE
105	r2a_pitchdisc_0411.pcm	R2A-PTC-2	HIGHER
106	r2a_pitchdisc_0538.pcm	R2A-PTC-2	HIGHER
107	r2a_colordisc_0061.img	R2A-COL-1	DIFFERENT
108	r2a_motiondir_0396.vid	R2A-MOT-2	SW
109	r2n_timbredisc_0484.pcm	R2N	PURE
110	r2n_shapetrans_0882.img	R2N	CIRCLE
111	r2a_colorconst_0676.img	R2A-CCN-2	SAME_SURFACE
112	r2n_colorconst_0606.img	R2N	SAME_SURFACE
113	r2a_colorconst_0360.img	R2A-CCN-2	SAME_SURFACE
114	r2n_timbredisc_0616.pcm	R2N	PURE
115	r2a_colorconst_0342.img	R2A-CCN-2	SAME_SURFACE
116	r2n_colorconst_0601.img	R2N	DIFFERENT
117	r2n_shapetrans_0125.img	R2N	SQUARE
118	r2n_colordisc_0232.img	R2N	SAME
119	r2a_motiondir_0460.vid	R2A-MOT-2	SE
120	r2n_shapetrans_0968.img	R2N	SQUARE
121	r2a_shapetrans_0428.img	R2A-SHP-2	CIRCLE
122	r2a_shapetrans_0423.img	R2A-SHP-2	TRIANGLE
