helper	0	V3-01	2	R5	w0=8 w1=88 w2=8
helper	1	V3-02	2	R5	w0=41 w1=60 w2=0
helper	2	V3-03	2	R5	w0=48 w1=52 w2=0
helper	3	V3-04	3	R5	w0=0 w1=0 w2=160
helper	4	V3-05	3	R5	w0=0 w1=24 w2=72
helper	5	V3-06	3	R5	w0=0 w1=0 w2=108
helper	6	V3-07	3	R5	w0=20 w1=4 w2=40
helper	7	V3-08	3	R5	w0=9 w1=0 w2=36
helper	8	V3-09	3	R5	w0=32 w1=0 w2=68
helper	9	V3-10	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
helper	10	V3-11	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
helper	11	V3-12	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
helper	12	V3-13	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
helper	13	V3-14	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
helper	14	V3-15	3	JOKE	cls=2 rule=ADOPT_HELPER final=3
helper	15	V3-16	3	JOKE	cls=2 rule=ADOPT_HELPER final=3
helper	16	V3-17	4	JOKE	cls=5 rule=AGREE final=5
helper	17	V3-18	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
helper	18	V3-19	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
helper	19	V3-20	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
helper	20	V3-21	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
helper	21	V3-22	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
helper	22	V3-23	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
helper	23	V3-24	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
