id,key,vold,vnew,a1,op1,a2,op2,a3,op3,cidx,caval,gt,class
1,1000,100,200,150,1,150,2,200,0,-1,0,NEW,N-clean
2,1001,110,210,160,1,160,2,210,0,-1,0,NEW,N-clean
3,1002,120,220,170,1,170,2,220,0,-1,0,NEW,N-clean
4,1003,130,230,180,1,180,2,230,0,-1,0,NEW,N-clean
5,1004,140,240,190,1,190,2,240,0,-1,0,NEW,N-clean
6,1005,150,250,200,1,200,2,250,0,-1,0,NEW,N-clean
7,2000,200,100,150,1,150,2,200,0,-1,0,OLD,O-clean
8,2001,210,110,160,1,160,2,210,0,-1,0,OLD,O-clean
9,2002,220,120,170,1,170,2,220,0,-1,0,OLD,O-clean
10,2003,230,130,180,1,180,2,230,0,-1,0,OLD,O-clean
11,2004,240,140,190,1,190,2,240,0,-1,0,OLD,O-clean
12,2005,250,150,200,1,200,2,250,0,-1,0,OLD,O-clean
13,3000,100,200,100,0,150,1,150,2,0,200,NEW,ADV-NEW
14,3001,110,210,110,0,160,1,160,2,0,210,NEW,ADV-NEW
15,4000,200,100,100,0,150,1,150,2,0,200,OLD,ADV-OLD
16,4001,210,110,110,0,160,1,160,2,0,210,OLD,ADV-OLD
17,5000,100,200,150,1,150,2,999,0,-1,0,WITHHOLD,NEITHER
18,5001,110,210,160,1,160,2,999,0,-1,0,WITHHOLD,NEITHER
19,5002,120,220,170,1,170,2,999,0,-1,0,WITHHOLD,NEITHER
20,5003,130,230,180,1,180,2,999,0,-1,0,WITHHOLD,NEITHER
21,5004,140,240,190,1,190,2,999,0,-1,0,WITHHOLD,NEITHER
22,5005,150,250,200,1,200,2,999,0,-1,0,WITHHOLD,NEITHER
23,5006,160,260,210,1,210,2,999,0,-1,0,WITHHOLD,NEITHER
24,5007,170,270,220,1,220,2,999,0,-1,0,WITHHOLD,NEITHER
